workload,model_size,batch,H,W,precision,num_inputs,num_outputs,total_input_bytes,total_output_bytes,weight_bytes,param_count,op_Add,op_Concat,op_Constant,op_Conv,op_GlobalAveragePool,op_Mul,op_Reshape,op_Sigmoid,op_Split,Avg_cpu_mem_MB,Max_cpu_mem_MB
obb,n,2,640,640,int8,1,1,2457600,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1101.0,1987.0
obb,n,4,320,320,fp16,1,1,2457600,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1109.0,2084.0
obb,n,4,320,320,fp32,1,1,4915200,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1083.0,2116.0
obb,n,4,320,320,int8,1,1,1228800,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1089.0,2188.0
obb,n,4,480,480,fp16,1,1,5529600,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1108.0,2027.0
obb,n,4,480,480,fp32,1,1,11059200,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1088.0,1962.0
obb,n,4,480,480,int8,1,1,2764800,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1101.0,2047.0
obb,n,4,640,640,fp16,1,1,9830400,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1012.0,1937.0
obb,n,4,640,640,fp32,1,1,19660800,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1029.0,1965.0
obb,n,4,640,640,int8,1,1,4915200,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1083.0,1999.0
obb,n,8,320,320,fp16,1,1,4915200,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1097.0,2214.0
obb,n,8,320,320,fp32,1,1,9830400,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1079.0,2120.0
obb,n,8,320,320,int8,1,1,2457600,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1053.0,2109.0
obb,n,8,480,480,fp16,1,1,11059200,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1081.0,2071.0
obb,n,8,480,480,fp32,1,1,22118400,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1020.0,1907.0
obb,n,8,480,480,int8,1,1,5529600,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1105.0,2050.0
obb,n,8,640,640,fp16,1,1,19660800,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1093.0,2072.0
obb,n,8,640,640,fp32,1,1,39321600,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1084.0,2065.0
obb,n,8,640,640,int8,1,1,9830400,1344000,12320576,3080144,9,21,22,73,0,69,8,65,11,1172.0,2073.0
obb,s,1,320,320,fp16,1,1,614400,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1092.0,2135.0
obb,s,1,320,320,fp32,1,1,1228800,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1091.0,2134.0
obb,s,1,320,320,int8,1,1,307200,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1075.0,2137.0
obb,s,1,480,480,fp16,1,1,1382400,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1075.0,1994.0
obb,s,1,480,480,fp32,1,1,2764800,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1135.0,2119.0
obb,s,1,480,480,int8,1,1,691200,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1194.0,2087.0
obb,s,1,640,640,fp16,1,1,2457600,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1129.0,1986.0
obb,s,1,640,640,int8,1,1,1228800,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1110.0,1997.0
obb,s,2,320,320,fp16,1,1,1228800,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1069.0,2172.0
obb,s,2,320,320,fp32,1,1,2457600,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1044.0,2109.0
obb,s,2,320,320,int8,1,1,614400,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1084.0,2153.0
obb,s,2,480,480,fp16,1,1,2764800,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1172.0,2020.0
obb,s,2,480,480,fp32,1,1,5529600,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1111.0,2126.0
obb,s,2,480,480,int8,1,1,1382400,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1190.0,2132.0
obb,s,2,640,640,fp16,1,1,4915200,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1172.0,2055.0
obb,s,2,640,640,int8,1,1,2457600,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1088.0,2047.0
obb,s,4,320,320,fp16,1,1,2457600,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1135.0,2191.0
obb,s,4,320,320,fp32,1,1,4915200,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1117.0,2154.0
obb,s,4,320,320,int8,1,1,1228800,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1132.0,2197.0
obb,s,4,480,480,fp16,1,1,5529600,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1124.0,2096.0
obb,s,4,480,480,fp32,1,1,11059200,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1138.0,2175.0
obb,s,4,480,480,int8,1,1,2764800,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1084.0,2074.0
obb,s,4,640,640,fp16,1,1,9830400,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1143.0,2177.0
obb,s,4,640,640,int8,1,1,4915200,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1094.0,2074.0
obb,s,8,320,320,fp16,1,1,4915200,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1047.0,2184.0
obb,s,8,320,320,fp32,1,1,9830400,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1098.0,2146.0
obb,s,8,320,320,int8,1,1,2457600,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1074.0,2143.0
obb,s,8,480,480,fp16,1,1,11059200,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1115.0,2084.0
obb,s,8,480,480,fp32,1,1,22118400,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1053.0,2080.0
obb,s,8,480,480,int8,1,1,5529600,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1094.0,2152.0
obb,s,8,640,640,fp16,1,1,19660800,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1093.0,2096.0
obb,s,8,640,640,int8,1,1,9830400,1344000,45669504,11417376,9,21,22,73,0,69,8,65,11,1115.0,2142.0
pose,n,1,320,320,fp16,1,1,614400,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,347.0,698.0
pose,n,1,320,320,fp32,1,1,1228800,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,338.0,708.0
pose,n,1,320,320,int8,1,1,307200,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,354.0,708.0
pose,n,1,480,480,fp16,1,1,1382400,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,351.0,724.0
pose,n,1,480,480,fp32,1,1,2764800,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,343.0,702.0
pose,n,1,480,480,int8,1,1,691200,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,368.0,706.0
pose,n,1,640,640,fp16,1,1,2457600,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,382.0,713.0
pose,n,1,640,640,int8,1,1,1228800,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,376.0,728.0
pose,n,2,320,320,fp16,1,1,1228800,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,319.0,688.0
pose,n,2,320,320,fp32,1,1,2457600,3763200,13159856,3289964,10,21,38,73,0,68,10,65,9,307.0,722.0
